"DIMENSION","VALUE","STEP","PATIENTS"
"age_group","80+",1,788703
"age_group","75-79",1,377541
"age_group","70-74",1,314610
"age_group","65-69",1,238228
"age_group","60-64",1,142178
"age_group","55-59",1,74006
"age_group","50-54",1,36251
"age_group","45-49",1,17859
"age_group","40-44",1,9313
"age_group","35-39",1,4595
"age_group","30-34",1,3251
"age_group","25-29",1,2257
"age_group","20-24",1,1355
"age_group","Unknown",1,1329
"age_group","15-19",1,595
"age_group","10-14",1,256
"age_group","5-9",1,148
"age_group","0-4",1,86
"age_group","80+",2,357675
"age_group","75-79",2,159797
"age_group","70-74",2,127095
"age_group","65-69",2,89493
"age_group","60-64",2,50330
"age_group","55-59",2,24706
"age_group","50-54",2,11386
"age_group","45-49",2,5382
"age_group","40-44",2,2593
"age_group","35-39",2,1302
"age_group","30-34",2,955
"age_group","25-29",2,700
"age_group","20-24",2,415
"age_group","Unknown",2,227
"age_group","15-19",2,134
"age_group","10-14",2,73
"age_group","5-9",2,38
"age_group","0-4",2,16
"age_group","80+",3,351477
"age_group","75-79",3,157513
"age_group","70-74",3,125239
"age_group","65-69",3,88191
"age_group","60-64",3,49516
"age_group","55-59",3,24310
"age_group","50-54",3,11194
"age_group","45-49",3,5285
"age_group","40-44",3,2554
"age_group","35-39",3,1284
"age_group","30-34",3,945
"age_group","25-29",3,687
"age_group","20-24",3,409
"age_group","Unknown",3,224
"age_group","15-19",3,131
"age_group","10-14",3,70
"age_group","5-9",3,38
"age_group","0-4",3,16
"age_group","80+",4,21986
"age_group","75-79",4,10970
"age_group","70-74",4,9395
"age_group","65-69",4,7247
"age_group","60-64",4,4372
"age_group","55-59",4,2159
"age_group","50-54",4,1103
"age_group","45-49",4,554
"age_group","40-44",4,312
"age_group","35-39",4,164
"age_group","30-34",4,102
"age_group","25-29",4,44
"age_group","20-24",4,35
"age_group","Unknown",4,24
"age_group","15-19",4,8
"age_group","5-9",4,6
"age_group","10-14",4,4
"age_group","0-4",4,0
"age_group","80+",5,7924
"age_group","75-79",5,3493
"age_group","70-74",5,2884
"age_group","65-69",5,2305
"age_group","60-64",5,1454
"age_group","55-59",5,742
"age_group","50-54",5,354
"age_group","45-49",5,206
"age_group","40-44",5,133
"age_group","35-39",5,59
"age_group","30-34",5,45
"age_group","20-24",5,14
"age_group","25-29",5,14
"age_group","Unknown",5,7
"age_group","15-19",5,2
"age_group","5-9",5,2
"age_group","10-14",5,2
"age_group","0-4",5,0
"age_group","80+",6,7015
"age_group","75-79",6,3019
"age_group","70-74",6,2486
"age_group","65-69",6,2018
"age_group","60-64",6,1287
"age_group","55-59",6,661
"age_group","50-54",6,306
"age_group","45-49",6,187
"age_group","40-44",6,116
"age_group","35-39",6,54
"age_group","30-34",6,42
"age_group","20-24",6,13
"age_group","25-29",6,13
"age_group","Unknown",6,6
"age_group","10-14",6,2
"age_group","15-19",6,2
"age_group","5-9",6,1
"age_group","0-4",6,0
"age_group","80+",7,3408
"age_group","75-79",7,1245
"age_group","70-74",7,970
"age_group","65-69",7,796
"age_group","60-64",7,513
"age_group","55-59",7,257
"age_group","50-54",7,127
"age_group","45-49",7,79
"age_group","40-44",7,54
"age_group","30-34",7,21
"age_group","35-39",7,19
"age_group","20-24",7,8
"age_group","25-29",7,5
"age_group","Unknown",7,4
"age_group","10-14",7,1
"age_group","5-9",7,1
"age_group","15-19",7,0
"age_group","0-4",7,0
"gender","M",1,1144125
"gender","F",1,867234
"gender","Unknown",1,1202
"gender","M",2,490577
"gender","F",2,341413
"gender","Unknown",2,327
"gender","M",3,482171
"gender","F",3,336590
"gender","Unknown",3,322
"gender","M",4,32895
"gender","F",4,25560
"gender","Unknown",4,30
"gender","M",5,13719
"gender","F",5,5912
"gender","Unknown",5,9
"gender","M",6,12176
"gender","F",6,5044
"gender","Unknown",6,8
"gender","M",7,5460
"gender","F",7,2043
"gender","Unknown",7,5
"hcp_specialty","Family Medicine",1,409202
"hcp_specialty","Internal Medicine",1,233282
"hcp_specialty","Other",1,211447
"hcp_specialty","Dermatology",1,160575
"hcp_specialty","General Practice",1,94553
"hcp_specialty","Cardiology",1,94481
"hcp_specialty","Ophthalmology",1,51436
"hcp_specialty","Urology",1,40686
"hcp_specialty","Radiology",1,36673
"hcp_specialty","Pathology",1,36397
"hcp_specialty","Physical Therapy",1,31184
"hcp_specialty","Emergency Medicine",1,30711
"hcp_specialty","Gastroenterology",1,29840
"hcp_specialty","Hematology/Oncology",1,29425
"hcp_specialty","Optometry",1,29170
"hcp_specialty","Nephrology",1,26117
"hcp_specialty","Pharmacy Specialty",1,25721
"hcp_specialty","Surgery",1,25335
"hcp_specialty","Hospital Medicine",1,24422
"hcp_specialty","Orthopedic Surgery",1,23365
"hcp_specialty","Podiatry",1,22226
"hcp_specialty","Neurology",1,21972
"hcp_specialty","Geriatrics",1,20255
"hcp_specialty","Interventional Cardiology",1,19083
"hcp_specialty","Pulmonology",1,18965
"hcp_specialty","Psychiatry",1,18637
"hcp_specialty","Endocrinology",1,18418
"hcp_specialty","Otolaryngology",1,16820
"hcp_specialty","Pain Medicine",1,15331
"hcp_specialty","Alternative Medicine",1,14597
"hcp_specialty","Dentistry",1,14123
"hcp_specialty","Obstetrics",1,13059
"hcp_specialty","Rheumatology",1,12275
"hcp_specialty","Oncology",1,9918
"hcp_specialty","Cardiac Electrophysiology",1,9494
"hcp_specialty","Anesthesiology",1,9209
