"AGE_BUCKET","FIRST_KLO_TREATMENT_MONTH","PATIENT_COUNTS"
"30-34","Apr-23",2
"35-39","Apr-23",1
"40-44","Apr-23",1
"45-49","Apr-23",2
"50-54","Apr-23",2
"55-59","Apr-23",7
"60-64","Apr-23",18
"65-69","Apr-23",18
"70-74","Apr-23",44
"75-79","Apr-23",33
"80+","Apr-23",77
"25-29","Apr-24",1
"35-39","Apr-24",1
"40-44","Apr-24",2
"50-54","Apr-24",2
"55-59","Apr-24",11
"60-64","Apr-24",11
"65-69","Apr-24",30
"70-74","Apr-24",37
"75-79","Apr-24",39
"80+","Apr-24",121
"Unknown","Apr-24",1
"20-24","Apr-25",1
"40-44","Apr-25",1
"45-49","Apr-25",2
"50-54","Apr-25",4
"55-59","Apr-25",9
"60-64","Apr-25",10
"65-69","Apr-25",23
"70-74","Apr-25",39
"75-79","Apr-25",53
"80+","Apr-25",138
"35-39","Aug-23",1
"40-44","Aug-23",1
"45-49","Aug-23",2
"55-59","Aug-23",7
"60-64","Aug-23",19
"65-69","Aug-23",41
"70-74","Aug-23",29
"75-79","Aug-23",41
"80+","Aug-23",119
"25-29","Aug-24",1
"40-44","Aug-24",2
"45-49","Aug-24",4
"50-54","Aug-24",3
"55-59","Aug-24",8
"60-64","Aug-24",12
"65-69","Aug-24",18
"70-74","Aug-24",31
"75-79","Aug-24",46
"80+","Aug-24",98
"Unknown","Aug-24",1
"20-24","Aug-25",1
"30-34","Aug-25",1
"35-39","Aug-25",2
"40-44","Aug-25",2
"45-49","Aug-25",3
"50-54","Aug-25",6
"55-59","Aug-25",16
"60-64","Aug-25",23
"65-69","Aug-25",31
"70-74","Aug-25",37
"75-79","Aug-25",63
"80+","Aug-25",135
"40-44","Dec-23",1
"45-49","Dec-23",1
"50-54","Dec-23",3
"55-59","Dec-23",11
"60-64","Dec-23",20
"65-69","Dec-23",22
"70-74","Dec-23",17
"75-79","Dec-23",36
"80+","Dec-23",100
"40-44","Dec-24",3
"45-49","Dec-24",5
"50-54","Dec-24",5
"55-59","Dec-24",7
"60-64","Dec-24",15
"65-69","Dec-24",26
"70-74","Dec-24",33
"75-79","Dec-24",33
"80+","Dec-24",107
"30-34","Feb-24",1
"35-39","Feb-24",1
"45-49","Feb-24",5
"50-54","Feb-24",6
"55-59","Feb-24",4
"60-64","Feb-24",24
"65-69","Feb-24",33
"70-74","Feb-24",30
"75-79","Feb-24",40
"80+","Feb-24",126
"35-39","Feb-25",1
"40-44","Feb-25",4
"45-49","Feb-25",4
"50-54","Feb-25",8
"55-59","Feb-25",10
"60-64","Feb-25",19
"65-69","Feb-25",20
"70-74","Feb-25",38
"75-79","Feb-25",50
"80+","Feb-25",122
"30-34","Jan-24",2
"35-39","Jan-24",2
"40-44","Jan-24",2
"45-49","Jan-24",4
"50-54","Jan-24",4
"55-59","Jan-24",7
"60-64","Jan-24",20
"65-69","Jan-24",27
"70-74","Jan-24",35
"75-79","Jan-24",43
"80+","Jan-24",101
"Unknown","Jan-24",1
"40-44","Jan-25",4
"45-49","Jan-25",3
"50-54","Jan-25",9
"55-59","Jan-25",12
"60-64","Jan-25",13
"65-69","Jan-25",31
"70-74","Jan-25",36
"75-79","Jan-25",46
"80+","Jan-25",107
"35-39","Jul-23",1
"40-44","Jul-23",1
"45-49","Jul-23",1
"50-54","Jul-23",8
"55-59","Jul-23",3
"60-64","Jul-23",7
"65-69","Jul-23",19
"70-74","Jul-23",21
"75-79","Jul-23",36
"80+","Jul-23",100
"25-29","Jul-24",1
"40-44","Jul-24",2
"50-54","Jul-24",3
"55-59","Jul-24",4
"60-64","Jul-24",17
"65-69","Jul-24",24
"70-74","Jul-24",22
"75-79","Jul-24",35
"80+","Jul-24",122
"30-34","Jul-25",1
"35-39","Jul-25",2
"40-44","Jul-25",3
"45-49","Jul-25",2
"50-54","Jul-25",3
"55-59","Jul-25",7
"60-64","Jul-25",21
"65-69","Jul-25",27
"70-74","Jul-25",51
"75-79","Jul-25",44
"80+","Jul-25",129
"20-24","Jun-23",2
"30-34","Jun-23",1
"35-39","Jun-23",1
"40-44","Jun-23",2
"45-49","Jun-23",3
"50-54","Jun-23",4
"55-59","Jun-23",12
"60-64","Jun-23",20
"65-69","Jun-23",28
"70-74","Jun-23",30
"75-79","Jun-23",36
"80+","Jun-23",94
"30-34","Jun-24",2
"35-39","Jun-24",1
"45-49","Jun-24",3
"50-54","Jun-24",2
"55-59","Jun-24",7
"60-64","Jun-24",9
"65-69","Jun-24",26
"70-74","Jun-24",21
"75-79","Jun-24",37
"80+","Jun-24",116
"30-34","Jun-25",1
"35-39","Jun-25",1
"40-44","Jun-25",1
"45-49","Jun-25",5
"50-54","Jun-25",5
"55-59","Jun-25",4
"60-64","Jun-25",19
"65-69","Jun-25",26
"70-74","Jun-25",45
"75-79","Jun-25",53
"80+","Jun-25",137
"30-34","Mar-24",1
"40-44","Mar-24",2
"45-49","Mar-24",3
"50-54","Mar-24",7
"55-59","Mar-24",10
"60-64","Mar-24",23
"65-69","Mar-24",29
"70-74","Mar-24",16
"75-79","Mar-24",34
"80+","Mar-24",120
"25-29","Mar-25",1
"30-34","Mar-25",1
"35-39","Mar-25",1
"40-44","Mar-25",3
"45-49","Mar-25",2
"50-54","Mar-25",6
"55-59","Mar-25",7
"60-64","Mar-25",16
"65-69","Mar-25",27
"70-74","Mar-25",37
"75-79","Mar-25",48
"80+","Mar-25",133
"20-24","May-23",1
"40-44","May-23",1
"45-49","May-23",3
"50-54","May-23",2
"55-59","May-23",3
"60-64","May-23",9
"65-69","May-23",26
"70-74","May-23",25
"75-79","May-23",34
"80+","May-23",112
"35-39","May-24",2
"40-44","May-24",3
"45-49","May-24",2
"50-54","May-24",3
"55-59","May-24",7
"60-64","May-24",11
"65-69","May-24",24
"70-74","May-24",32
"75-79","May-24",44
"80+","May-24",104
"20-24","May-25",1
"30-34","May-25",2
"40-44","May-25",1
"45-49","May-25",4
"50-54","May-25",4
"55-59","May-25",14
"60-64","May-25",26
"65-69","May-25",30
"70-74","May-25",33
"75-79","May-25",37
"80+","May-25",105
"Unknown","May-25",1
"30-34","Nov-23",2
"40-44","Nov-23",2
"45-49","Nov-23",2
"50-54","Nov-23",4
"55-59","Nov-23",9
"60-64","Nov-23",11
"65-69","Nov-23",26
"70-74","Nov-23",39
"75-79","Nov-23",36
"80+","Nov-23",104
"40-44","Nov-24",1
"45-49","Nov-24",1
"50-54","Nov-24",3
"55-59","Nov-24",12
"60-64","Nov-24",27
"65-69","Nov-24",16
"70-74","Nov-24",41
"75-79","Nov-24",32
"80+","Nov-24",112
"30-34","Oct-23",2
"40-44","Oct-23",1
"45-49","Oct-23",2
"5-9","Oct-23",1
"50-54","Oct-23",3
"55-59","Oct-23",11
"60-64","Oct-23",14
"65-69","Oct-23",24
"70-74","Oct-23",27
"75-79","Oct-23",41
"80+","Oct-23",127
"30-34","Oct-24",1
"35-39","Oct-24",1
"40-44","Oct-24",2
"45-49","Oct-24",1
"50-54","Oct-24",4
"55-59","Oct-24",7
"60-64","Oct-24",17
"65-69","Oct-24",42
"70-74","Oct-24",27
"75-79","Oct-24",52
"80+","Oct-24",120
"10-14","Sep-23",1
"25-29","Sep-23",1
"30-34","Sep-23",1
"40-44","Sep-23",1
"45-49","Sep-23",1
"50-54","Sep-23",4
"55-59","Sep-23",7
"60-64","Sep-23",18
"65-69","Sep-23",22
"70-74","Sep-23",33
"75-79","Sep-23",33
"80+","Sep-23",97
"20-24","Sep-24",2
"40-44","Sep-24",2
"45-49","Sep-24",3
"50-54","Sep-24",5
"55-59","Sep-24",8
"60-64","Sep-24",20
"65-69","Sep-24",30
"70-74","Sep-24",26
"75-79","Sep-24",39
"80+","Sep-24",102
"40-44","Sep-25",3
"45-49","Sep-25",6
"50-54","Sep-25",5
"55-59","Sep-25",16
"60-64","Sep-25",24
"65-69","Sep-25",30
"70-74","Sep-25",38
"75-79","Sep-25",51
"80+","Sep-25",123
